ID,SDSS,Name,Plate,MJD,Fiber,z,Hbeta,OIII5007,OI6300,Halpha,NII6584,RA_1,DEC_1,Index,RA_2,DEC_2,logLbol,logLbol_e,Morph,logMBH,logEdd,logMs,logMs_e
3,SDSS,J230321.73+011056.4,380,51792,565,0.18136,235.38,1692.71,12.29,816.35,247.33,23 03 21.73,+01 10 56.4,14367,345.84052,1.1823265,44.57,0.01,Early,8.81,-2.34,11.25,0.07
13,SDSS,J124738.52+621243.1,781,52373,76,0.12112,171.82,915.8,33.03,697.15,162.91,12 47 38.52,+62 12 43.1,7988,191.91051,62.211974,43.93,0.01,Unreliable,6.8,-0.98,9.92,0.19
21,SDSS,J081653.27+285423.1,1206,52670,530,0.0574,246.45,1610.19,131.99,1145.34,203.6,08 16 53.27,+28 54 23.1,1429,124.22198,28.906405,43.61,0.0,Late,6.61,-1.1,10.31,0.11
25,SDSS,J124110.10+104143.7,1233,52734,611,0.15613,214.49,1004.84,29.37,703.65,188.71,12 41 10.10,+10 41 43.7,7809,190.29209,10.695466,44.2,0.05,Early,7.1,-0.99,9.88,0.09
26,SDSS,J092620.42+352250.3,1274,52995,147,0.24729,118.98,868.18,81.24,513.89,75.74,09 26 20.42,+35 22 50.3,3003,141.58512,35.380659,44.12,0.06,Early,7.86,-1.84,10.4,0.13
34,SDSS,J121839.40+470627.6,1451,53117,190,0.09389,478.35,5046.81,101.68,1861.68,380.45,12 18 39.40,+47 06 27.6,7259,184.66417,47.107684,43.81,0.02,Early,6.83,-1.12,10.75,0.11
40,SDSS,J135855.82+493414.1,1670,53438,61,0.11592,56.67,385.56,14.74,189.76,50.29,13 58 55.82,+49 34 14.1,9818,209.73263,49.570602,44.0,0.01,Early,7.38,-1.47,10.58,0.13
58,SDSS,J145505.97+211121.1,2148,54526,122,0.06751,82.3,441.8,12.31,437.94,126.61,14 55 05.97,+21 11 21.1,11242,223.77489,21.189205,43.45,0.01,Early,6.3,-0.95,10.67,0.09
65,SDSS,J084658.44+111457.5,2574,54084,382,0.06296,130.82,638.15,41.04,557.91,161.29,08 46 58.44,+11 14 57.5,2055,131.74351,11.249321,43.35,0.01,Early,7.12,-1.87,10.03,0.12
66,SDSS,J095745.49+152350.6,2584,54153,442,0.05183,96.42,702.55,24.58,514.46,117.37,09 57 45.49,+15 23 50.6,3713,149.43957,15.397404,43.23,0.01,Early,6.36,-1.23,10.13,0.1
67,SDSS,J133014.91+242153.9,2665,54232,388,0.07151,50.49,244.84,15.74,284.46,76.98,13 30 14.91,+24 21 53.9,9050,202.56215,24.364976,43.21,0.02,Early,6.05,-0.94,10.36,0.1
