Table 1 
The BPT-valley Sample


ID	SDSS Name	Plate	MJD	Fiber	z	Hbetalambda4861	[O III]lambda5007	[O I]lambda6300	Halphalambda6563	[N II]lambda6584	
1	SDSS J102310.97-002810.8	0272	51941	0238	0.11274	253.97	2279.29	125.19	881.10	235.20	
2	SDSS J111006.26-010116.5	0278	51900	0096	0.10949	382.92	1837.07	129.44	1484.61	438.76	
3	SDSS J230321.73+011056.4	0380	51792	0565	0.18136	235.38	1692.71	12.29	816.35	247.33	
4	SDSS J024825.26-002541.4	0409	51871	0150	0.02467	10.35	41.33	4.71	47.65	14.92	
5	SDSS J073506.37+393300.8	0432	51884	0316	0.03479	29.46	163.57	8.55	109.51	21.85	
6	SDSS J023310.78-074813.4	0455	51909	0388	0.03097	97.71	707.20	12.83	433.29	104.88	
7	SDSS J092907.78+002637.3	0475	51965	0205	0.11732	259.86	2602.18	56.12	1173.36	274.70	
8	SDSS J090613.76+561015.1	0483	51902	0016	0.04668	188.36	1144.93	73.96	621.46	189.46	
9	SDSS J144328.78+044022.0	0587	52026	0374	0.11411	36.11	300.13	3.37	137.53	32.98	
10	SDSS J114825.71+643545.0	0598	52316	0189	0.04169	349.08	1347.75	60.17	1302.50	392.24	
11	SDSS J213439.57-071641.9	0641	52199	0487	0.06377	215.60	2079.35	78.83	800.93	182.94	
12	SDSS J001050.35-010257.4	0686	52519	0020	0.11299	223.89	1669.57	109.74	940.89	275.90	
13	SDSS J124738.52+621243.1	0781	52373	0076	0.12112	171.82	915.80	33.03	697.15	162.91	
14	SDSS J131659.37+035319.9	0851	52376	0219	0.04541	127.05	1399.96	80.91	698.40	136.73	
15	SDSS J115908.55+525823.1	0881	52368	0623	0.06644	392.77	2812.16	52.13	1218.45	379.53	
16	SDSS J104632.21+543559.7	0906	52368	0169	0.14475	83.71	938.64	19.52	375.92	101.46	
17	SDSS J104600.36+061632.0	1000	52643	0035	0.18447	146.67	637.74	31.28	586.86	177.72	
18	SDSS J101945.65+520608.6	1008	52707	0378	0.06492	29.60	115.17	6.75	92.29	28.00	
19	SDSS J205111.11+000913.2	1023	52818	0393	0.06644	7.37	44.11	4.92	37.11	9.68	
20	SDSS J214930.43+010509.4	1031	53172	0369	0.11399	28.14	210.35	3.43	109.29	31.13	
21	SDSS J081653.27+285423.1	1206	52670	0530	0.05740	246.45	1610.19	131.99	1145.34	203.60	
22	SDSS J095319.42+422912.2	1217	52672	0349	0.22343	207.67	1835.79	83.29	698.87	115.09	
23	SDSS J110504.94+101623.5	1221	52751	0359	0.02076	104.02	466.39	29.14	481.20	151.62	
24	SDSS J114440.53+102429.3	1226	52734	0435	0.12688	51.67	304.73	39.93	241.38	67.83	
25	SDSS J124110.10+104143.7	1233	52734	0611	0.15613	214.49	1004.84	29.37	703.65	188.71	
26	SDSS J092620.42+352250.3	1274	52995	0147	0.24729	118.98	868.18	81.24	513.89	75.74	
27	SDSS J131756.07+491531.3	1282	52759	0390	0.09231	215.30	2050.51	105.88	711.65	176.30	
28	SDSS J090107.41+085459.2	1300	52973	0335	0.08380	172.61	1116.69	153.30	822.23	210.37	
29	SDSS J120134.05+581421.1	1313	52790	0527	0.04636	28.83	136.20	5.78	87.43	20.49	
30	SDSS J152723.47+334919.1	1354	52814	0044	0.09116	44.63	173.46	24.18	254.04	79.05	
31	SDSS J112314.89+431208.7	1365	53062	0119	0.08005	56.52	226.87	33.20	183.08	52.19	
32	SDSS J152328.09+313655.6	1387	53118	0210	0.06850	382.47	1707.84	67.32	1300.98	322.89	
33	SDSS J120900.89+422830.9	1448	53120	0075	0.02364	100.07	614.24	24.50	320.70	61.56	
34	SDSS J121839.40+470627.6	1451	53117	0190	0.09389	478.35	5046.81	101.68	1861.68	380.45	
35	SDSS J005231.29-011525.2	1496	52883	0089	0.13485	251.99	2400.52	55.68	826.34	254.44	
36	SDSS J011341.11+010608.5	1499	53001	0522	0.28090	191.99	2118.06	38.27	779.72	162.79	
37	SDSS J001901.52+003931.8	1542	53734	0375	0.09669	58.06	296.69	15.99	242.69	58.75	
38	SDSS J034019.39+002530.6	1632	52996	0467	0.35296	40.58	375.40	10.78	167.65	46.21	
39	SDSS J032224.64+401119.8	1666	52991	0048	0.02608	121.08	1388.24	50.70	428.76	130.77	
40	SDSS J135855.82+493414.1	1670	53438	0061	0.11592	56.67	385.56	14.74	189.76	50.29	
41	SDSS J160452.78+344540.4	1682	53173	0201	0.05493	87.33	437.20	37.34	364.99	111.94	
42	SDSS J132011.71+125940.9	1698	53146	0327	0.11398	25.43	174.93	4.92	92.99	24.68	
43	SDSS J143523.42+100704.1	1711	53535	0306	0.03122	128.18	530.61	15.31	473.30	123.16	
44	SDSS J072637.94+394557.8	1733	53047	0326	0.11141	505.82	3357.26	23.23	1744.03	120.42	
45	SDSS J095914.76+125916.4	1744	53055	0385	0.03432	1298.59	8418.94	361.09	4396.86	1088.11	
46	SDSS J113714.22+145917.2	1755	53386	0463	0.03484	74.19	364.47	25.99	276.40	77.15	
47	SDSS J120847.79+135906.7	1764	53467	0013	0.29030	136.33	659.31	28.11	554.94	137.92	
48	SDSS J135429.05+132757.2	1777	53857	0076	0.06332	312.80	3422.56	111.50	1005.37	306.94	
49	SDSS J130431.99+061616.7	1794	54504	0046	0.06283	184.84	1202.46	41.38	702.29	217.24	
50	SDSS J134316.52+101440.1	1804	53886	0433	0.08132	186.67	960.51	170.90	635.68	198.21	
51	SDSS J160032.89+052608.8	1822	53172	0012	0.11653	281.02	1630.88	69.22	1204.67	280.09	
